Index,Date,MaxTemp
894,2020-06-13,52
895,2020-06-14,64
896,2020-06-15,62
897,2020-06-16,59
898,2020-06-17,71
899,2020-06-18,74
900,2020-06-19,76
901,2020-06-20,76
902,2020-06-21,77
903,2020-06-22,81
904,2020-06-23,82
905,2020-06-24,81
906,2020-06-25,82
907,2020-06-26,88
908,2020-06-27,81
909,2020-06-28,64
910,2020-06-29,67
911,2020-06-30,68
912,2020-07-01,72
913,2020-07-02,72
914,2020-07-03,71
915,2020-07-04,74
916,2020-07-05,76
917,2020-07-06,75
918,2020-07-07,72
919,2020-07-08,75
920,2020-07-09,76
921,2020-07-10,82
922,2020-07-11,82
923,2020-07-12,82
924,2020-07-13,80
925,2020-07-14,79
926,2020-07-15,82
927,2020-07-16,80
928,2020-07-17,80
929,2020-07-18,81
930,2020-07-19,83
931,2020-07-20,80
932,2020-07-21,81
933,2020-07-22,76
934,2020-07-23,76
935,2020-07-24,77
936,2020-07-25,79
937,2020-07-26,81
938,2020-07-27,81
939,2020-07-28,82
940,2020-07-29,81
941,2020-07-30,81
942,2020-07-31,81
943,2020-08-01,82
944,2020-08-02,80
945,2020-08-03,80
946,2020-08-04,78
947,2020-08-05,74
948,2020-08-06,72
949,2020-08-07,74
950,2020-08-08,79
951,2020-08-09,82
952,2020-08-10,83
953,2020-08-11,79
954,2020-08-12,78
955,2020-08-13,82
956,2020-08-14,87
957,2020-08-15,89
958,2020-08-16,86
959,2020-08-17,90
960,2020-08-18,87
961,2020-08-19,81
962,2020-08-20,82
963,2020-08-21,78
964,2020-08-22,82
965,2020-08-23,83
966,2020-08-24,79
967,2020-08-25,78
968,2020-08-26,78
969,2020-08-27,78
970,2020-08-28,81
971,2020-08-29,80
972,2020-08-30,81
973,2020-08-31,79
974,2020-09-01,85
975,2020-09-02,82
976,2020-09-03,84
977,2020-09-04,87
978,2020-09-05,93
979,2020-09-06,90
980,2020-09-07,89
981,2020-09-08,77
982,2020-09-09,78
983,2020-09-10,71
984,2020-09-11,76
985,2020-09-12,80
986,2020-09-13,80
987,2020-09-14,78
988,2020-09-15,78
989,2020-09-16,76
990,2020-09-17,74
991,2020-09-18,64
992,2020-09-19,70
993,2020-09-20,75
994,2020-09-21,73
995,2020-09-22,71
996,2020-09-23,74
997,2020-09-24,71
998,2020-09-25,72
999,2020-09-26,72
1000,2020-09-27,80
1001,2020-09-28,84
1002,2020-09-29,80
1003,2020-09-30,82
1004,2020-10-01,86
1005,2020-10-02,82
1006,2020-10-03,82
1007,2020-10-04,76
1008,2020-10-05,78
1009,2020-10-06,78
1010,2020-10-07,75
1011,2020-10-08,68
1012,2020-10-09,67
1013,2020-10-10,60
1014,2020-10-11,66
1015,2020-10-12,72
1016,2020-10-13,74
1017,2020-10-14,81
1018,2020-10-15,83
1019,2020-10-16,81
1020,2020-10-17,77
1021,2020-10-18,74
1022,2020-10-19,73
1023,2020-10-20,75
1024,2020-10-21,71
1025,2020-10-22,70
1026,2020-10-23,65
1027,2020-10-24,61
1028,2020-10-25,56
1029,2020-10-26,57
1030,2020-10-27,71
1031,2020-10-28,74
1032,2020-10-29,71
1033,2020-10-30,68
1034,2020-10-31,71
1035,2020-11-01,71
1036,2020-11-02,73
1037,2020-11-03,68
1038,2020-11-04,70
1039,2020-11-05,73
1040,2020-11-06,54
1041,2020-11-07,36
1042,2020-11-08,33
1043,2020-11-09,38
1044,2020-11-10,45
1045,2020-11-11,47
1046,2020-11-12,49
1047,2020-11-13,40
1048,2020-11-14,47
1049,2020-11-15,52
1050,2020-11-16,67
1051,2020-11-17,57
1052,2020-11-18,40
1053,2020-11-19,48
1054,2020-11-20,56
1055,2020-11-21,61
1056,2020-11-22,54
1057,2020-11-23,48
1058,2020-11-24,55
1059,2020-11-25,41
1060,2020-11-26,45
1061,2020-11-27,58
1062,2020-11-28,54
1063,2020-11-29,55
1064,2020-11-30,54
1065,2020-12-01,63
1066,2020-12-02,62
1067,2020-12-03,55
1068,2020-12-04,57
1069,2020-12-05,55
